,kategori,P@1,P@2,P@3,P@4,P@5,P@6,P@7,P@8,P@9,P@10
@SiKutuBuku,Education,1.0,1.0,1.0,0.75,0.6,0.5,0.4286,0.375,0.3333,0.3
@Sobat_HAPE,Gadgets,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.8889,0.8
@SportsChannelIndonesia,Sports,1.0,0.5,0.6667,0.75,0.8,0.8333,0.7143,0.625,0.5556,0.5
@TirtaPengPengPeng,Education,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111,0.1
@TrinityOptimaProduction,Music,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.7778,0.7
@VINDES,Entertainment,1.0,1.0,1.0,1.0,0.8,0.8333,0.7143,0.625,0.6667,0.6
@WindahBasudara,Gaming,1.0,0.5,0.6667,0.75,0.6,0.5,0.5714,0.5,0.5556,0.5
@YoutuberCupu,Gadgets,1.0,1.0,1.0,0.75,0.8,0.6667,0.7143,0.625,0.6667,0.6
@ZeniusEducation,Education,0.0,0.0,0.3333,0.25,0.2,0.1667,0.1429,0.125,0.1111,0.1
@ZonaJuaraSports,Sports,1.0,1.0,1.0,0.75,0.6,0.5,0.5714,0.5,0.5556,0.5
@amarpdchannel,Animals,1.0,0.5,0.6667,0.5,0.6,0.6667,0.5714,0.5,0.4444,0.4
@ariefmuhammaddd,Entertainment,0.0,0.0,0.3333,0.25,0.2,0.1667,0.1429,0.25,0.2222,0.3
@carmudiID,Automotive,1.0,0.5,0.6667,0.5,0.4,0.3333,0.2857,0.25,0.2222,0.2
@corbuzier,Entertainment,1.0,1.0,1.0,1.0,1.0,0.8333,0.8571,0.75,0.6667,0.6
@deHakims,Animals,1.0,0.5,0.3333,0.25,0.2,0.1667,0.1429,0.125,0.1111,0.1
@deHakimsAviaryIrfanHakim,Animals,1.0,0.5,0.3333,0.25,0.2,0.1667,0.1429,0.125,0.2222,0.2
@dennycaknan6996,Music,1.0,1.0,0.6667,0.5,0.6,0.5,0.5714,0.5,0.4444,0.5
@farida.nurhan,Food,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
@felicia.tjiasaka,Education,1.0,1.0,1.0,0.75,0.6,0.5,0.4286,0.375,0.3333,0.3
@indomusikgram,Music,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
@iwanbanaranblog,Automotive,1.0,1.0,1.0,0.75,0.6,0.5,0.4286,0.5,0.4444,0.4
@kompastv,News,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8889,0.8
@letdahyper,Gaming,1.0,1.0,1.0,0.75,0.6,0.5,0.4286,0.375,0.4444,0.4
@liputan6_news,News,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8889,0.8
@metrotvnews,News,1.0,1.0,1.0,1.0,0.8,0.6667,0.5714,0.5,0.4444,0.4
@motomobitv,Automotive,1.0,1.0,1.0,0.75,0.8,0.8333,0.7143,0.625,0.5556,0.5
@nihongomantappu,Education,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
@officialbaliunited,Sports,1.0,1.0,0.6667,0.75,0.6,0.6667,0.5714,0.5,0.4444,0.4
